LBTESTCD,UNIT,LOW,HIGH,LAB
ALT,U/L,7.0,56.0,CENTRAL
AST,U/L,10.0,40.0,CENTRAL
BILI,mg/dL,0.1,1.2,CENTRAL
ALP,U/L,44.0,147.0,CENTRAL
ALT,ukat/L,0.12,0.93,S07
AST,ukat/L,0.17,0.67,S07
BILI,mg/dL,0.1,1.2,S07
BILI,umol/L,1.7,20.5,S07
ALP,ukat/L,0.73,2.45,S07
ALT,U/L,7.0,56.0,S01
AST,U/L,10.0,40.0,S01
BILI,mg/dL,0.1,1.2,S01
ALP,U/L,44.0,147.0,S01
ALT,U/L,7.0,56.0,S02
AST,U/L,10.0,40.0,S02
BILI,mg/dL,0.1,1.2,S02
ALP,U/L,44.0,147.0,S02
ALT,U/L,7.0,56.0,S03
AST,U/L,10.0,40.0,S03
BILI,mg/dL,0.1,1.2,S03
ALP,U/L,44.0,147.0,S03
ALT,U/L,7.0,56.0,S04
AST,U/L,10.0,40.0,S04
BILI,mg/dL,0.1,1.2,S04
ALP,U/L,44.0,147.0,S04
ALT,U/L,7.0,56.0,S05
AST,U/L,10.0,40.0,S05
BILI,mg/dL,0.1,1.2,S05
ALP,U/L,44.0,147.0,S05
ALT,U/L,7.0,56.0,S06
AST,U/L,10.0,40.0,S06
BILI,mg/dL,0.1,1.2,S06
ALP,U/L,44.0,147.0,S06
ALT,U/L,7.0,56.0,S08
AST,U/L,10.0,40.0,S08
BILI,mg/dL,0.1,1.2,S08
ALP,U/L,44.0,147.0,S08
